type,size,layers,bp,bt
forward,1,s316L:0.1_s316L:0.1_tef:0.05,5,20
forward,3,s316L:0.1_s316L:0.1_tef:0.1,1,148
forward,3,s316L:0.1_s316L:0.1_tef:0.1,1,148
forward,3,s316L:0.1_s316L:0.1_tef:0.1,1,148
forward,3,s316L:0.1_s316L:0.1_tef:0.1,1,148
forward,1,s316L:0.05_s316L:0.05_s316L:0.05_tef:0.1,5,22
forward,1,s316L:0.05_s316L:0.05_s316L:0.05_tef:0.1,5,22
forward,1,s316L:0.05_s316L:0.2_s316L:0.05_tef:0.1,5,22
forward,1,s316L:0.05_s316L:0.05_s316L:0.05_tef:0.1,5,22
forward,1,s316L:0.1_s316L:0.1_tef:0.1,10,181
forward,1,s316L:0.1_s316L:0.1_tef:0.1,10,181
forward,1,s316L:0.1_s316L:0.1_tef:0.1,10,181
forward,1,s316L:0.1_s316L:0.1_tef:0.1,10,181
forward,1,s316L:0.1_s316L:0.1_tef:0.1,10,181
forward,1,s316L:0.1_s316L:0.1_tef:0.1,10,181
forward,1.5,s316L:0.1_s316L:0.1_tef:0.2,10,180
forward,1.5,s316L:0.1_s316L:0.1_s316L:0.1_tef:0.1,10,180
forward,1.5,s316L:0.1_s316L:0.1_s316L:0.1_tef:0.1,10,180
forward,1.5,s316L:0.2_s316L:0.1_s316L:0.1_tef:0.1,10,180
forward,1.5,s316L:0.1_s316L:0.1_s316L:0.1_tef:0.1,10,180
forward,3,s316L:0.3_s316L:0.1_tef:0.3,3.3,130
forward,3,s316L:0.3_s316L:0.1_tef:0.3,3.3,130
forward,3,s316L:0.3_s316L:0.1_tef:0.3,3.3,130
forward,3,s316L:0.3_s316L:0.1_tef:0.3,3.3,130
forward,3,s316L:0.3_s316L:0.1_tef:0.3,3.3,130
forward,4,s316L:0.3_s316L:0.1_tef:0.3,3.3,131
forward,4,s316L:0.3_s316L:0.1_tef:0.2,3.3,131
forward,4,s316L:0.3_s316L:0.1_tef:0.3,3.3,131
forward,4,s316L:0.3_s316L:0.1_tef:0.3,3.3,131
forward,4,s316L:0.3_s316L:0.1_tef:0.3,3.3,131
forward,4,s316L:0.3_s316L:0.1_tef:0.3,3.3,131
forward,16,s316L:0.4_s316L:0.1_fep:0.4,0.5,22
forward,16,s316L:0.4_s316L:0.1_fep:0.4,0.5,22
forward,4,inconel:1_ inconel:0.42_ptfe:0.5,17.2,65.6
forward,4,inconel:1_ inconel:0.42_ptfe:0.5,17.2,65.6
forward,6,s316L:0.6_s316L:0.2_s316L:0.1_ptfe:0.5,2.35,50
forward,6,s316L:0.6_s316L:0.2_s316L:0.1_ptfe:0.5,2.35,50
forward,6,s316L:0.6_s316L:0.2_s316L:0.1_ptfe:0.5,2.35,50
forward,6,s316L:0.6_s316L:0.2_s316L:0.1_ptfe:0.5,2.35,50
forward,4,s316L:1_s316L:0.6_ptfe:0.5,8.4,80
forward,4,s316L:1_s316L:0.6_ptfe:0.5,8.4,80
forward,4,s316L:1_s316L:0.6_ptfe:0.5,8.4,80
forward,2,s316:0.1_inconel:0.45_fep:0.1,3.25,75
forward,2,s316:0.1_inconel:0.45_fep:0.1,3.25,75
forward,12,s316:1.5_inconel:0.42_ptfe:0.5,16.17,81.67
forward,12,s316:1.5_inconel:0.42_ptfe:0.5,16.17,81.67
forward,12,s316:1.5_inconel:0.42_ptfe:0.5,16.17,81.67
forward,1,s316:0.1_s316:1_fep:.1,5,30
forward,1,s316:0.1_s316:1_fep:0.1,5,30
forward,1,s316:0.1_s316:1_fep:0.1,5,30
forward,1,s316:0.05_s316:0.05_fep:0.1,5,30
forward,1,s316:0.05_s316:0.05_fep:0.1,5,30
forward,1,s316:0.05_s316:0.05_fep:0.1,5,30
forward,1.5,s316:0.1_s316L:0.1_tef:0.1,2,135
forward,1.5,s316:0.1_s316L:0.1_tef:0.1,2,135
forward,1.5,s316:0.1_s316L:0.1_tef:0.1,2,135
forward,1.5,s316:0.1_s316L:0.1_tef:0.1,2,135
forward,1.5,s316:0.1_s316L:0.1_tef:0.1,2,135
forward,1.5,s316:0.1_s316:0.1_tef:0.3,2,135
forward,2,s316:0.1_s316:0.1_tef:0.3,3,60.2
forward,2,s316:0.1_s316:0.1_tef:0.3,3,60.2
forward,3,s316L:0.5_s316L:0.1_tef:0.5,3,48
forward,3,s316L:0.3_s316L:0.1_tef:0.5,3,48
forward,0.5,s316:0.2_s316:0.05_s316L:0.1_ptfe:0.5,248,100
forward,0.5,s316:0.2_s316:0.05_s316L:0.1_ptfe:0.4,248,100
forward,4,s316:1_s316:0.4_ptfe:0.5,10,100
forward,4,s316:1_s316:0.4_ptfe:0.4,10,100
forward,4,s316:1_s316:0.4_ptfe:0.5,10,100
forward,4,s316:1_s316:0.4_ptfe:0.5,10,100
forward,4,s316:1_s316:0.4_ptfe:0.5,10,100
forward,12,s316:0.5_ aluminum :0.2_ aluminum:0.2_s316:0.5,3.5,250
forward,12,s316:0.5_ aluminum :0.2_ aluminum:0.2_s316:0.5,3.5,250
forward,1.5,s316:0.1_s316L:0.1_ptfe:0.1,3.3,149
forward,1.5,s316:0.1_s316L:0.1_ptfe:0.1,3.3,149
forward,1.5,s316:0.1_s316L:0.1_ptfe:0.1,3.3,149
forward,1.5,s316:0.1_s316L:0.1_ptfe:0.1,3.3,149
forward,1.5,s316:0.1_s316L:0.1_ptfe:0.1,3.3,149
forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149
forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149
forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149
forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149
forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149
forward,1.5,s316:0.2_s316:0.1_ptfe:0.2,3.3,149
forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149
forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149
forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149
forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149
forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149
forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149
forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149
forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149
forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149
forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149
forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149
forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149
forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149
forward,1.5,s316:0.1_s316:0.2_ptfe:0.1,3.3,149
forward,1.5,s316:0.1_s316:0.2_ptfe:0.1,3.3,149
forward,1.5,s316:0.4_inconel:0.42_ptfe:0.3,204,20
forward,1.5,s316:0.4_inconel:0.42_ptfe:0.3,204,20
forward,1.5,s316:0.4_inconel:0.42_ptfe:0.3,204,20
forward,1.5,s316:0.4_inconel:0.42_ptfe:0.3,204,20
forward,1.5,s316:0.4_inconel:0.42_ptfe:0.3,204,20
forward,1.5,s316:0.4_inconel:0.42_ptfe:0.3,204,20
forward,1.5,s316:0.4_inconel:0.42_ptfe:0.3,204,20
forward,1.5,s316:0.4_inconel:0.42_ptfe:0.3,204,20
forward,3,s316:0.5_s316:0.5_fep:0.15,3.25,48
forward,3,s316:0.5_s316:0.5_fep:0.15,3.25,48
forward,3,s316:0.5_s316:0.5_fep:0.15,3.25,48
forward,3,s316:0.5_s316:0.5_fep:0.15,3.25,48
forward,14,s316:1.5_s316:1_ptfe:0.5,8.81,180
