id,type,size,layers,bp,bt,rbp,fh,drw
320,forward,1.5,s316:0.2_s316:0.1_ptfe:0.2,3.3,149,3.21,0,n
321,forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149,2.75,0,n
322,forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149,3.99,0,n
323,forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149,2.7,0,n
324,forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149,3.01,0,n
325,forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149,3.65,0,n
326,forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149,3.43,0,n
327,forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149,5.3,0,n
328,forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149,3.5,0,n
329,forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149,3.13,0,n
330,forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149,3.85,0,n
331,forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149,3.1,0,n
332,forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149,2.65,0,n
333,forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149,3.7,0,n
334,forward,1.5,s316:0.1_s316:0.2_ptfe:0.1,3.3,149,3.1,0,n
335,forward,1.5,s316:0.1_s316:0.2_ptfe:0.1,3.3,149,3.03,0,n
336,forward,1.5,s316:0.4_inconel:0.42_ptfe:0.3,204,20,24.46,0,n
337,forward,1.5,s316:0.4_inconel:0.42_ptfe:0.3,204,20,17.79,0,n
338,forward,1.5,s316:0.4_inconel:0.42_ptfe:0.3,204,20,19.06,0,n
339,forward,1.5,s316:0.4_inconel:0.42_ptfe:0.3,204,20,19.86,0,n
340,forward,1.5,s316:0.4_inconel:0.42_ptfe:0.3,204,20,19.02,0,n
341,forward,1.5,s316:0.4_inconel:0.42_ptfe:0.3,204,20,21.78,0,n
342,forward,1.5,s316:0.4_inconel:0.42_ptfe:0.3,204,20,19.11,0,n
343,forward,1.5,s316:0.4_inconel:0.42_ptfe:0.3,204,20,19.57,0,n
344,forward,3,s316:0.5_s316:0.5_fep:0.15,3.25,48,3.12,0,n
345,forward,3,s316:0.5_s316:0.5_fep:0.15,3.25,48,2.97,0,n
346,forward,3,s316:0.5_s316:0.5_fep:0.15,3.25,48,3.09,0,n
347,forward,3,s316:0.5_s316:0.5_fep:0.15,3.25,48,3.17,0,n
348,forward,14,s316:1.5_s316:1_ptfe:0.5,8.81,180,7.83,0,n
349,forward,6,s316:0.5_s316:0.3_tef:0.5,5.49,82,5.61,0,n
350,forward,6,s316:0.5_s316:0.3_tef:0.5,5.49,82,5.57,0,n
351,forward,6,s316:0.5_s316:0.3_tef:0.5,5.49,82,5.13,0,n
352,forward,6,s316:0.5_s316:0.3_tef:0.5,5.49,82,5.54,0,n
353,forward,6,s316:0.5_s316:0.3_tef:0.5,5.49,82,5.6,0,n
354,forward,3,s316:0.5_s316:0.3_tef:0.5,5.49,82,5.8,0,n
355,forward,3,s316:0.5_s316:0.3_tef:0.5,5.49,82,5.84,0,n
356,forward,3,s316:0.5_s316:0.3_tef:0.5,5.49,82,5.72,0,n
357,forward,3,s316:0.5_s316:0.3_tef:0.5,5.49,82,5.78,0,n
358,forward,3,s316:0.5_s316:0.3_tef:0.5,5.49,82,5.66,0,n
359,forward,10,s316:1.5_s316:0.1_tef:0.5,3,200,3.42,0,n
360,forward,10,s316:1.5_s316:0.1_tef:0.5,3,200,4,0,n
361,forward,10,s316:1.5_s316:0.1_tef:0.5,3,200,2.94,0,n
362,forward,10,s316:1.5_s316:0.1_tef:0.5,3,200,3.03,0,n
363,forward,10,s316:1.5_s316:0.1_tef:0.5,3,200,2.8,0,n
364,forward,10,s316:1.5_s316:0.1_tef:0.5,3,200,4.1,0,n
365,forward,10,s316:1.5_s316:0.1_tef:0.5,3,200,3.3,0,n
366,forward,10,s316:1.5_s316:0.1_tef:0.5,3,200,2.88,0,n
367,forward,10,s316:1.5_s316:0.1_tef:0.5,3,200,2.97,0,n
368,forward,10,s316:1.5_s316:0.1_tef:0.5,2.7,200,2.63,0,n
369,forward,10,s316:1.5_s316:0.1_tef:0.5,2.7,200,3.13,0,n
370,forward,10,s316:1.5_s316:0.1_tef:0.5,2.7,200,2.88,0,n
371,forward,10,s316:1.5_s316:0.1_tef:0.5,2.7,200,2.71,0,n
372,forward,10,s316:1.5_s316:0.1_tef:0.5,2.7,200,2.6,0,n
373,forward,10,s316:1.5_s316:0.1_tef:0.5,2.7,200,8,0,n
374,forward,10,s316:1.5_s316:0.1_tef:0.5,2.7,200,5.57,0,n
375,forward,10,s316:1.5_s316:0.1_tef:0.5,2.7,200,2.58,0,n
376,forward,10,s316:1.5_s316:0.1_tef:0.5,2.7,200,3.65,0,n
377,forward,10,s316:1.5_s316:0.1_tef:0.5,2.7,200,3.85,0,n
378,forward,8,s316:0.5_s316:0.4_tef:0.3,2.6,140,1.8,0,n
379,forward,8,s316:0.5_s316:0.4_tef:0.3,2.6,140,3.8,0,n
380,forward,8,s316:0.5_s316:0.4_tef:0.3,2.6,140,2.79,0,n
381,forward,8,s316:0.5_s316:0.4_tef:0.3,2.6,140,2.57,0,n
382,forward,8,s316:0.5_s316:0.4_tef:0.3,2.6,140,2.56,0,n
383,forward,8,s316:0.5_s316:0.4_tef:0.3,2.6,140,2.46,0,n
384,forward,8,s316:0.5_s316:0.4_tef:0.3,2.6,140,2.59,0,n
385,forward,8,s316:0.5_s316:0.4_tef:0.3,2.6,140,2.49,0,n
386,forward,3,s316:0.3_s316:0.3_tef:0.1,4.2,50,4.03,0,n
387,forward,3,s316:0.3_s316:0.3_tef:0.1,4.2,50,4.16,0,n
388,forward,3,s316:0.3_s316:0.3_tef:0.1,4.2,50,4.43,0,n
389,forward,3,s316:0.3_s316:0.3_tef:0.1,4.2,50,4.15,0,n
390,forward,3,s316:0.3_s316:0.3_tef:0.1,4.2,50,4.25,0,n
391,forward,14,s316:1_s316:1.5_tef:0.4,8.81,180,8.25,0,n
392,forward,14,s316:1_s316:1.5_tef:0.4,8.81,180,8.18,0,n
393,forward,10,s316:0.5_s316:0.5_ptfe:0.4,160,2,1.94,0,n
394,forward,10,s316:0.5_s316:0.5_ptfe:0.4,160,2,1.6,0,n
395,forward,10,s316:0.5_s316:0.5_ptfe:0.4,160,2,1.91,0,n
396,forward,16,s316:0.5_s316:0.5_ptfe:0.4,160,2,2.03,0,n
397,forward,3,s316:0.3_s316:0.3_ aluminum :0.1_tef:0.1,3.5,240,4.2,0,n
398,forward,3,s316:0.3_s316:0.3_ aluminum :0.1_tef:0.1,3.5,240,3.5,0,n
399,forward,3,s316:0.3_s316:0.3_ aluminum :0.1_tef:0.1,3.5,240,6.2,0,n
400,forward,3,s316:0.3_s316:0.3_ aluminum :0.1_tef:0.1,3.5,240,5.4,0,n
401,forward,3,s316:0.3_s316:0.3_ aluminum :0.1_tef:0.1,3.5,240,10,0,n
402,forward,3,s316:0.3_s316:0.3_ aluminum :0.1_tef:0.1,3.5,240,4.7,0,n
403,forward,3,s316:0.3_s316:0.3_ aluminum :0.1_tef:0.1,3.5,240,6.9,0,n
404,forward,3,s316:0.3_s316:0.3_ aluminum :0.1_tef:0.1,3.5,240,3.78,0,n
405,forward,3,s316:0.3_s316:0.3_ aluminum :0.1_tef:0.1,3.5,240,4.91,0,n
406,forward,3,s316:0.3_s316:0.3_ aluminum :0.1_tef:0.1,3.5,240,5.5,0,n
407,forward,3,s316:0.3_s316:0.3_ aluminum :0.1_tef:0.1,3.5,240,3.58,0,n
408,forward,3,s316:0.3_s316:0.3_ aluminum :0.1_tef:0.1,3.5,240,3.25,0,n
409,forward,3,s316:0.3_s316:0.3_ aluminum :0.1_tef:0.1,3.5,240,3.33,0,n
410,forward,3,s316:0.3_s316:0.3_ aluminum :0.1_tef:0.1,3.5,240,3.47,0,n
411,forward,3,s316:0.3_s316:0.3_ aluminum :0.1_tef:0.1,3.5,240,3.04,0,n
412,forward,3,s316:0.3_s316:0.3_ aluminum :0.1_tef:0.1,3.5,240,3.33,0,n
413,forward,3,s316:0.3_s316:0.3_ aluminum :0.1_tef:0.1,3.5,240,4.2,0,n
414,forward,3,s316:0.3_s316:0.3_ aluminum :0.1_tef:0.1,3.5,240,4,0,n
415,forward,3,s316:0.3_s316:0.3_ aluminum :0.1_tef:0.1,3.5,240,3.58,0,n
416,forward,3,s316:0.3_s316:0.3_ aluminum :0.1_tef:0.1,3.5,240,5.33,0,n
417,forward,3,s316:0.3_s316:0.3_ aluminum :0.1_tef:0.1,3.5,240,6.83,0,n
418,forward,4,s316:0.3_s316:0.3_ aluminum :0.1_tef:0.1,3.25,180,3.11,0,n
419,forward,4,s316:0.3_s316:0.3_ aluminum :0.1_tef:0.1,3.25,180,3.27,0,n
420,forward,4,s316:0.3_s316:0.3_ aluminum :0.1_tef:0.1,3.25,180,3.5,0,n
421,forward,4,s316:0.3_s316:0.3_ aluminum :0.1_tef:0.1,3.25,180,4.09,0,n
422,forward,4,s316:0.3_s316:0.3_ aluminum :0.1_tef:0.1,3.25,180,5,0,n
423,forward,4,s316:0.5_s316:0.5_tef:0.1,5,22,3.73,0,n
424,forward,4,s316:0.5_s316:0.5_tef:0.1,5,22,5.1,0,n
425,forward,4,s316:0.5_s316:0.5_tef:0.1,5,22,5.5,0,n
426,forward,4,s316:0.5_s316:0.5_tef:0.1,5,22,5.2,0,n
427,forward,4,s316:0.5_s316:0.5_tef:0.1,5,22,4.9,0,n
428,forward,4,s316:0.5_s316:0.5_tef:0.1,5,22,4.84,0,n
429,forward,4,s316:0.5_s316:0.5_tef:0.1,5,22,5.05,0,n
430,forward,4,s316:0.5_s316:0.5_tef:0.1,5,22,4.85,0,n
431,forward,4,s316:0.5_s316:0.5_tef:0.1,5,22,4.12,0,n
432,forward,4,s316:0.5_s316:0.5_tef:0.1,5,22,5.4,0,n
433,forward,4,s316:0.5_s316:0.5_tef:0.1,5,22,5.2,0,n
434,forward,4,s316:0.5_s316:0.5_tef:0.1,5,22,5.1,0,n
435,forward,4,s316:0.5_s316:0.5_tef:0.1,5,22,4.72,0,n
436,forward,4,s316:0.5_s316:0.5_tef:0.1,5,22,5.04,0,n
437,forward,4,s316:0.5_s316:0.5_tef:0.1,5,22,5.003,0,n
438,forward,12,s316:0.5_s316:0.2_ aluminum :0.2_s316:0.5_tef:0.5,3.5,250,4.5,0,n
439,forward,12,s316:0.5_s316:0.2_ aluminum :0.2_s316:0.5_tef:0.5,3.5,250,3.58,0,n
440,forward,12,s316:0.5_s316:0.2_ aluminum :0.2_s316:0.5_tef:0.5,3.5,250,6.63,0,n
441,forward,12,s316:0.5_s316:0.2_ aluminum :0.2_s316:0.5_tef:0.5,3.5,250,3.85,0,n
442,forward,12,s316:0.5_s316:0.2_ aluminum :0.2_s316:0.5_tef:0.5,3.5,250,5.94,0,n
443,forward,12,s316:0.5_s316:0.2_ aluminum :0.2_s316:0.5_tef:0.5,3.5,250,5.5,0,n
444,forward,12,s316:0.5_s316:0.2_ aluminum :0.2_s316:0.5_tef:0.5,3.5,250,6.25,0,n
445,forward,12,s316:0.5_s316:0.2_ aluminum :0.2_s316:0.5_tef:0.5,3.5,250,3.53,0,n
446,forward,12,s316:0.5_s316:0.2_ aluminum :0.2_s316:0.5_tef:0.5,3.5,250,2.25,0,n
447,forward,3,s316:0.5_s316:0.5_tef:0.1,4.2,50,3.98,0,n
448,forward,3,s316:0.5_s316:0.5_tef:0.1,4.2,50,3.95,0,n
449,forward,3,s316:0.5_s316:0.5_tef:0.1,4.2,50,4.05,0,n
450,forward,3,s316:0.5_s316:0.5_tef:0.1,4.2,50,3.74,0,n
451,forward,3,s316:0.5_s316:0.5_tef:0.1,4.2,50,3.64,0,n
452,forward,3,s316:0.5_s316:0.5_tef:0.1,4.2,50,3.54,0,n
453,forward,3,s316:0.5_s316:0.5_tef:0.1,4.2,50,3.72,0,n
454,forward,3,s316:0.5_s316:0.5_tef:0.1,4.2,50,3.95,0,n
455,forward,3,s316:0.5_s316:0.5_tef:0.1,4.2,50,3.9,0,n
456,forward,3,s316:0.5_s316:0.5_tef:0.1,4.2,50,4.04,0,n
457,forward,3,s316:0.5_s316:0.5_tef:0.1,4.2,50,3.95,0,n
458,forward,3,s316:0.5_s316:0.5_tef:0.1,4.2,50,4.6,0,n
459,forward,3,s316:0.5_s316:0.5_tef:0.1,4.2,50,4.7,0,n
460,forward,3,s316:0.5_s316:0.5_tef:0.1,4.2,50,5,0,n
461,forward,3,s316:0.5_s316:0.5_tef:0.1,4.2,50,4.15,0,n
462,forward,3,s316:0.5_s316:0.5_tef:0.1,4.2,50,4.2,0,n
463,forward,3,s316:0.5_s316:0.5_tef:0.1,4.2,50,4.12,0,n
464,forward,3,s316:0.5_s316:0.5_tef:0.1,4.2,50,4.65,0,n
465,forward,3,s316:0.5_s316:0.5_tef:0.1,4.2,50,4.22,0,n
466,forward,3,s316:0.5_s316:0.5_tef:0.1,4.2,50,4.45,0,n
467,forward,3,s316:0.5_s316:0.5_tef:0.1,4.2,50,4.25,0,n
468,forward,3,s316:0.5_s316:0.5_tef:0.1,4.2,50,5.3,0,n
469,forward,3,s316:0.5_s316:0.5_tef:0.1,4.2,50,5.6,0,n
470,forward,3,s316:0.5_s316:0.5_tef:0.1,4.2,50,4.55,0,n
471,forward,3,s316:0.5_s316:0.5_tef:0.1,4.2,50,4.38,0,n
472,forward,3,s316:0.5_s316:0.5_tef:0.1,4.2,50,4.63,0,n
473,forward,3,s316:0.5_s316:0.5_tef:0.1,4.2,50,4.43,0,n
474,forward,3,s316:0.5_s316:0.5_tef:0.1,4.2,50,4.65,0,n
475,forward,3,s316:0.5_s316:0.5_tef:0.1,4.2,50,4.24,0,n
476,forward,3,s316:0.5_s316:0.5_tef:0.1,4.2,50,4.35,0,n
477,forward,3,s316:0.5_s316:0.5_tef:0.1,4.2,50,2.8,0,n
478,forward,3,s316:0.5_s316:0.5_tef:0.1,4.2,50,3.43,0,n
479,forward,3,s316:0.5_s316:0.5_tef:0.1,4.2,50,4.65,0,n
480,forward,3,s316:0.5_s316:0.5_tef:0.1,4.2,50,4.17,0,n
481,forward,3,s316:0.5_s316:0.5_tef:0.1,4.2,50,4.23,0,n
482,forward,3,s316:0.5_s316:0.5_tef:0.1,4.2,50,4.11,0,n
483,forward,3,s316:0.5_s316:0.5_tef:0.1,4.2,50,4.38,0,n
484,forward,3,s316:0.5_s316:0.5_tef:0.1,4.2,50,4.33,0,n
485,forward,3,s316:0.5_s316:0.5_tef:0.1,4.2,50,4.01,0,n
486,reverse,0.5,monel :0.4_s316:0.05_ptfe:0.1,20.2,20,19.72,4,A11/2inRP2
487,reverse,0.5,inconel :0.4_s316:0.05_ptfe:0.1,20.2,20,18.86,4,A11/2inRP2
488,reverse,1,monel :0.6_ s316:0.05_ptfe:0.1,15,22,12.5,6.65,A11/2inRP10-MAmodified
489,reverse,1,monel :0.6_ s316:0.05_ptfe:0.1,15,22,15.1,6.65,MA11/2inRP1
490,reverse,1,monel :0.6_ s316:0.05_ptfe:0.1,15,22,15.7,6.65,MA11/2inRP1
491,reverse,1,s316:0.6_s316:0.05_ptfe:0.1,15,165,17.93,6.07,A11/2inRP2
492,reverse,1,s316:0.4_s316:0.05_ptfe:0.1,15,165,8.85,6.07,A11/2inRP3
493,reverse,1,s316:0.4_s316:0.05_ptfe:0.1,15,165,10.16,6.07,A11/2inRP3
494,reverse,1,s316:0.6_s316:0.05_ptfe:0.1,15,165,22.97,6.07,A11/2inRP4
495,reverse,1,s316:0.6_s316:0.05_ptfe:0.1,15,165,20.78,6.07,A11/2inRP4
496,reverse,1,s316:0.6_s316:0.05_ptfe:0.1,15,165,15.18,6.07,A11/2inRP5
497,reverse,1,s316:0.6_s316:0.05_ptfe:0.1,15,165,14.31,6.07,A11/2inRP5
498,reverse,1.5,s316:0.5_s316:0.05_ptfe:0.1,15,10,12.21,8.4,A11/2inRp7
499,reverse,1.5,s316:0.5_s316:0.5_ptfe:0.1,4,153,11.5,19.82,n
500,reverse,1.5,s316:0.5_s316:0.5_ptfe:0.1,4,153,4.23,5.88,n
501,reverse,1.5,s316:0.5_s316:0.5_ptfe:0.1,4,153,4.17,5.88,n
502,reverse,1.5,s316:0.5_s316:0.5_ptfe:0.1,4,153,3.5,5.88,n
503,reverse,2,s316:0.4_s316:0.05_ptfe:0.1,5.9,25,5.38,9.7,A2inRP16
504,reverse,2,s316:0.4_s316:0.05_ptfe:0.1,5.9,25,5.34,9.7,A2inRP16
505,reverse,2,s316:0.4_s316:0.05_ptfe:0.1,5.9,25,5.4,9.7,A2inRP16
506,reverse,2,s316:0.4_s316:0.05_ptfe:0.1,5.9,25,5.74,9.7,A2inRP16
507,reverse,2,s316:0.4_s316:0.05_ptfe:0.1,5.9,25,5.74,9.7,A2inRP16
508,reverse,2,s316:0.8_inconel:0.05_ptfe:0.1,27.7,115,36.67,10,MA2inRP14
509,reverse,2,s316:0.8_inconel:0.05_ptfe:0.1,27.7,115,26.47,10,A2inRP1
510,reverse,2,s316:0.8_inconel:0.05_ptfe:0.1,27.7,115,25,10,A2inRP1
511,reverse,2,s316:0.8_inconel:0.05_ptfe:0.1,27.7,115,27.1,10,A2inRP1
512,reverse,2,s316:0.5_s316:0.05_ptfe:0.1,3.38,58.4,3.35,9.83,MA2inRP5
513,reverse,2,s316:0.5_s316:0.05_ptfe:0.1,3.18,58.4,3.16,9.83,MA2inRP5
514,reverse,2,s316:0.5_s316:0.05_ptfe:0.1,3.38,58.4,3.33,9.83,MA2inRP5
515,reverse,2,s316:0.5_s316:0.05_ptfe:0.1,3.18,58.4,3.17,9.83,MA2inRP5
516,reverse,2,s316:0.8_s316:0.05_ptfe:0.1,19,55,20.05,9.8,A2inRP3
517,reverse,2,s316:0.8_s316:0.05_ptfe:0.1,19,55,16.29,9.8,A2inRP11
518,reverse,2,inconel:0.8_s316:0.05_ptfe:0.1,13.5,80,11.07,9.97,A2inRP12
519,reverse,2,inconel:0.8_s316:0.05_ptfe:0.1,13.5,80,14.27,9.97,A2inRP13
520,reverse,2,inconel:0.8_s316:0.05_ptfe:0.1,13.5,80,13.5,9.97,A2inRP13.m.
521,reverse,2,inconel:0.8_s316:0.05_ptfe:0.1,13.5,80,14.01,9.97,A2inRP13.5.m
522,reverse,2,inconel:0.8_s316:0.05_ptfe:0.1,13.5,80,14.81,9.97,A2inRP13.5.s.m.
523,reverse,2,inconel:0.8_s316:0.05_ptfe:0.1,13.5,80,14.45,9.97,A2inRP13.T.M.
524,reverse,2,s316:0.8_s316:0.05_ptfe:0.1,19,115,17.6,10.96,A2inRP10
525,reverse,2,s316:0.8_s316:0.05_ptfe:0.1,19,115,16.29,10.96,A2inRP10.m.
526,reverse,2,s316:0.4_s316:0.05_ptfe:0.1,7.5,65,4.12,13.77,A2inRP4
527,reverse,2,s316:0.4_s316:0.05_ptfe:0.1,7.5,65,7.53,13.77,A2inRP5
528,reverse,2,s316:0.8_s316:0.05_ptfe:0.1,7.5,65,12.13,13.77,A2inRP4
529,reverse,2,s316:0.6_s316:0.05_ptfe:0.1,7.5,65,6.54,13.77,A2inRP6
530,reverse,2,s316:0.5_s316:0.05_ptfe:0.1,7.5,65,5.47,13.77,A2inRP8
531,reverse,2,s316:0.5_s316:0.05_ptfe:0.1,7.5,65,4.9,13.77,A2inRP7
532,reverse,2,s316:0.5_s316:0.05_ptfe:0.1,7.5,65,7.74,13.77,A2inRP9
533,reverse,2,s316:0.5_s316:0.05_ptfe:0.1,7.5,65,6.27,13.77,A2inRP8.M
534,reverse,2,s316:0.8_s316:0.05_ptfe:0.1,20,115,27.4,9.5,A2inRP1
535,reverse,2,s316:0.8_s316:0.05_ptfe:0.1,20,115,17.77,9.5,A2inRP2
536,reverse,2,s316:0.4_s316:0.05_ptfe:0.1,6,22,6.55,10,2in29
537,reverse,2,s316:0.8_s316:0.05_ptfe:0.1,9.5,148,5.64,9.82,__
538,reverse,2,s316:0.8_s316:0.05_ptfe:0.1,9.5,148,9.23,9.05,2inR23
539,reverse,2,s316:0.8_s316:0.05_ptfe:0.1,9.5,148,6.73,9.05,2inR24
540,reverse,2,s316:0.8_s316:0.05_ptfe:0.1,9.5,148,6.05,9.05,2inR24
541,reverse,2,s316:0.8_s316:0.05_ptfe:0.1,9.5,148,6.07,9.05,2inR24
542,reverse,2,s316:0.8_s316:0.05_ptfe:0.1,9.5,148,7.31,9.05,2inR25
543,reverse,2,s316:0.8_s316:0.05_ptfe:0.1,9.5,148,7.13,9.05,2inR26
544,reverse,2,s316:0.8_s316:0.05_ptfe:0.1,9.5,148,9.3,9.05,2inR27
545,reverse,2,s316:0.8_s316:0.05_ptfe:0.1,9.5,148,9.43,9.05,2inR28
546,reverse,2,s316:0.8_s316:0.05_ptfe:0.1,12.5,85,9.05,9.05,2inR28
547,reverse,2,s316:0.8_s316:0.1_ptfe:0.1,12.5,85,15.23,10.38,__
548,reverse,2,s316:1_s316:0.05_ptfe:0.1,12.5,85,10.6,9.61,2inchIR65
549,reverse,2,s316:1_s316:0.05_ptfe:0.1,12.5,85,10.6,9.61,2inch17
550,reverse,2,s316:1_s316:0.05_ptfe:0.1,12.5,85,10.7,9.61,2inch18
551,reverse,2,s316:1_s316:0.05_ptfe:0.1,12.5,85,11.9,9.61,2inch19
552,reverse,2,s316:1_s316:0.05_ptfe:0.1,12.5,85,11.5,9.61,2inch21
553,reverse,2,s316:1_s316:0.05_ptfe:0.1,12.5,85,12,9.61,2inch20
554,reverse,2,s316:1_s316:0.05_ptfe:0.1,12.5,85,12.45,9.61,2inch21
555,reverse,2,s316:1_s316:0.05_ptfe:0.1,12.5,85,11.86,9.61,2inch21
556,reverse,3,hastelloy :1_ s316:0.05_ptfe:0.1,12,46,11.3,14.82,A3inRP16
557,reverse,3,hastelloy :1_ s316:0.05_ptfe:0.1,12,46,7.48,14.82,A3inRP17
558,reverse,3,hastelloy :1_ s316:0.05_ptfe:0.1,12,46,10.33,14.82,A3inRP17.m.
559,reverse,3,hastelloy :1_ s316:0.05_ptfe:0.1,12,46,11.7,14.82,A3inRP19
560,reverse,3,hastelloy :1_ s316:0.05_ptfe:0.1,13.5,250,13.09,14.82,A3inRP18
561,reverse,3,hastelloy :1_ s316:0.05_ptfe:0.1,13.5,250,12.2,14.82,A3inRP18.m.
562,reverse,3,hastelloy :1_ s316:0.05_ptfe:0.1,13.5,250,13.34,14.82,A3inRP18.sec.m.
563,reverse,3,s316:1_s316:0.05_ptfe:0.1,7.5,64,7.43,17.59,A3inRP11
564,reverse,3,s316:0.6_s316:0.05_ptfe:0.1,7.5,64,5.15,17.59,A3inRP10
565,reverse,3,s316:0.8_s316:0.05_ptfe:0.1,7.5,64,7.19,17.59,A3inRP10
566,reverse,3,s316:0.8_s316:0.05_ptfe:0.1,7.5,64,6.07,17.59,A3inRP14
567,reverse,3,s316:0.8_s316:0.05_ptfe:0.1,7.5,64,7.05,17.59,A3inRP
568,reverse,3,s316:0.4_s316:0.05_ptfe:0.1,1,180,1.037,14.3,A3inRP7
569,reverse,3,monel :1_ s316:0.05_ptfe:0.1,13,22,12.58,15,A3inRP5.M.
570,reverse,3,monel :1_ s316:0.05_ptfe:0.1,13,22,16.08,15,A3inRP6
571,reverse,3,monel :1_ s316:0.05_ptfe:0.1,13,22,13,15,A3inRP8
572,reverse,3,monel :1_ s316:0.05_ptfe:0.1,13,22,10.16,15,A3inRP9
573,reverse,3,monel :1_ s316:0.05_ptfe:0.1,13,22,12.96,15,A3inRP9
574,reverse,3,monel :1_ s316:0.05_ptfe:0.1,13,22,14.1,15,A3inRP9-M.
575,reverse,3,monel :1_ s316:0.05_ptfe:0.1,13,22,12.12,15,A3inRP9-sec.M.
576,reverse,3,monel :1_ s316:0.05_ptfe:0.1,13,22,11.95,15,A3inRP9-third.M.
577,reverse,3,monel :1_ s316:0.05_ptfe:0.1,13,22,16.6,15,A3inRP12
578,reverse,3,monel :1_ s316:0.05_ptfe:0.1,13,22,12.5,15,A3inRP13
579,reverse,3,monel :1_ s316:0.05_ptfe:0.1,13,22,12.98,15,A3inRP9-F.M.
580,reverse,3,monel :1_ s316:0.05_ptfe:0.1,13,22,13.83,15,A3inRP13
581,reverse,3,s316:0.6_s316:0.05_ptfe:0.1,3,40,3.15,15.83,A3inRP4
582,reverse,3,s316:0.6_s316:0.05_ptfe:0.1,3,40,3.15,15.83,A3inRP4
583,reverse,3,s316:0.6_s316:0.05_ptfe:0.1,3,40,3.19,15.83,A3inRP4
584,reverse,3,s316:1_inconel:0.1_ptfe:0.1,6,40,6.61,34.98,__
585,reverse,3,s316:1_inconel:0.1_ptfe:0.1,6,40,6.05,14.66,3inch10
586,reverse,3,s316:1_inconel:0.1_ptfe:0.1,6,40,7.15,14.77,3inch10
587,reverse,3,s316:1_inconel:0.1_ptfe:0.1,6,40,6.42,14.66,3inch9
588,reverse,3,s316:1_inconel:0.1_ptfe:0.1,6,40,7.05,14.77,3inch10
589,reverse,3,s316:1_inconel:0.1_ptfe:0.1,6,40,6.92,14.66,3inch7
590,reverse,3,s316:1_inconel:0.1_ptfe:0.1,6,40,8,14.77,3inch5
591,reverse,3,s316:1_inconel:0.05_ptfe:0.1,6,40,6.95,14.66,3inch4
592,reverse,3,s316:1_inconel:0.1_ptfe:0.1,6,40,7.4,14.77,3inch2
593,reverse,3,s316:1_inconel:0.1_ptfe:0.1,6,40,7.4,14.66,3inch6
594,reverse,3,s316:1_s316:0.1_ptfe:0.1,6,40,6.13,14.66,3inch6
595,reverse,3,s316:0.5_s316:0.5_ptfe:0.1,7.5,149.1,7.6,21.3,n
596,reverse,3,s316:0.5_s316:0.5_ptfe:0.1,7,100,2.14,17.63,n
597,reverse,3,hastelloy:0.8_s316:0.05_ptfe:0.1,40,280,37.1,29.33,n
598,reverse,3,hastelloy:0.8_s316:0.05_ptfe:0.1,40,280,44,15.62,n
599,reverse,3,hastelloy:0.8_s316:0.05_ptfe:0.1,40,280,47,15.62,n
600,reverse,3,hastelloy:0.8_s316:0.05_ptfe:0.1,40,280,32,15.62,n
601,reverse,3,hastelloy:0.8_s316:0.05_ptfe:0.1,40,280,35,15.62,n
602,reverse,3,hastelloy:0.8_s316:0.05_ptfe:0.1,40,280,44.5,15.62,n
603,reverse,3,hastelloy:0.8_s316:0.05_ptfe:0.1,40,280,41,15.62,n
604,reverse,3,hastelloy:0.8_s316:0.05_ptfe:0.1,40,280,42.7,15.62,n
605,reverse,3,hastelloy:0.8_s316:0.05_ptfe:0.1,40,280,44.5,15.62,n
606,reverse,3,hastelloy:0.8_s316:0.05_ptfe:0.1,40,280,40,15.62,n
607,reverse,3,hastelloy:0.8_s316:0.05_ptfe:0.1,40,280,42.5,15.62,n
608,reverse,3,hastelloy:0.8_s316:0.05_ptfe:0.1,40,280,45.5,15.62,n
609,reverse,3,hastelloy:0.8_s316:0.05_ptfe:0.1,40,280,43.5,15.62,n
610,reverse,3,hastelloy:0.8_s316:0.05_ptfe:0.1,40,280,45.2,15.62,n
611,reverse,3,hastelloy:0.8_s316:0.05_ptfe:0.1,40,280,45.5,15.62,n
612,reverse,3,hastelloy:0.8_s316:0.05_ptfe:0.1,40,280,42.5,15.62,n
613,reverse,3,hastelloy:0.8_s316:0.05_ptfe:0.1,40,280,46,15.62,n
614,reverse,3,inconel:1.6_ inconel:0.1_ptfe:0.1,42,200,33,20.6,n
615,reverse,3,inconel:1.6_ inconel:0.1_ptfe:0.1,42,200,33.8,22.64,n
616,reverse,3,inconel:1.6_ inconel:0.1_ptfe:0.1,42,200,31,17,n
